IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
82.76.168.108,2024-09-12,23:06:12 UTC,["necessary"],desktop,en,Chrome,Windows,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
82.76.168.108,2024-09-12,23:08:02 UTC,["necessary"],desktop,en,Chrome,Windows,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
82.76.168.108,2024-09-12,23:42:27 UTC,["necessary"],mobile,ro,Chrome,iOS,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
82.76.168.108,2024-09-13,00:41:26 UTC,["necessary"],desktop,en,Chrome,Windows,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
82.76.168.108,2024-09-13,01:13:33 UTC,["necessary"],mobile,ro,Chrome,iOS,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
82.76.168.108,2024-09-13,12:32:57 UTC,["necessary"],desktop,ro,Edge,Windows,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
82.76.168.108,2024-09-13,13:47:12 UTC,["necessary"],mobile,ro,Chrome,iOS,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
86.121.7.103,2024-09-13,23:15:16 UTC,["necessary"],desktop,ro,Chrome,Windows,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
82.76.168.108,2024-09-14,01:05:22 UTC,["necessary"],mobile,ro,Chrome,iOS,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
82.76.168.108,2024-09-17,01:12:54 UTC,["necessary"],mobile,ro,Chrome,iOS,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
62.231.110.93,2024-09-17,01:20:23 UTC,["necessary"],mobile,ro,Chrome,Android,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
188.25.27.148,2024-09-17,18:24:28 UTC,["necessary"],mobile,ro,Safari,iOS,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
86.120.163.182,2024-09-17,18:25:29 UTC,["necessary"],mobile,ro,Chrome,Android,Romania,B,București,Bucharest,051523,44.4031,26.0417
109.166.129.17,2024-09-18,12:50:10 UTC,["necessary"],mobile,en,Chrome,Android,Romania,B,București,Bucharest,021758,44.4152,26.166
188.25.27.148,2024-09-18,14:38:18 UTC,["necessary"],desktop,en,Chrome,Windows,Romania,IF,Ilfov,Voluntari,077190,44.4865,26.1738
